player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Aaron Mooy,MF,Australia,32-094,Celtic,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Aaron Ramsey,MF,Wales,31-357,Nice,1990,3,3,266,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Abdelhamid Sabiri,MF,Morocco,26-020,Sampdoria,1996,5,2,181,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,0.1,0.1,0.9,1,0.08,0.53,0.6,0.08,0.6
Abdelkarim Hassan,DF,Qatar,29-112,Al Sadd SC,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0.01,0.11,0.1,0.11
Abderrazak Hamdallah,FW,Morocco,32-001,Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.52,0,0.52,0.52,0.52
Abdessamad Ezzalzouli,FW,Morocco,21-001,Osasuna,2001,3,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.09,0.39,0.49,0.09,0.49
Abdou Diallo,DF,Senegal,26-228,RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
Abdul Fatawu Issahaku,FW,Ghana,18-285,Sporting CP,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-051,Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,Al-Nassr,1997,3,2,182,2,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Abdullah Madu,DF,Saudi Arabia,29-156,Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0.06,0.24,0.18,0.24
Abolfazl Jalali,DF,IR Iran,24-175,Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achraf Dari,DF,Morocco,23-226,Brest,1999,3,2,187,2.1,1,0,1,0,0,1,0,0.48,0,0.48,0.48,0.48,0.6,0.6,0,0.6,0.3,0,0.3,0.3,0.3
Achraf Hakimi,DF,Morocco,24-044,Paris S-G,1998,7,7,631,7,0,1,0,0,0,0,0,0,0.14,0.14,0,0.14,0.1,0.1,0.5,0.6,0.02,0.07,0.09,0.02,0.09
Adrien Rabiot,MF,France,27-259,Juventus,1995,6,5,483,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,1.1,1.1,0.9,1.9,0.2,0.16,0.36,0.2,0.36
Agust�n Canobbio,MF,Uruguay,24-078,Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-319,Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Ahmed Alaaeldin,FW,Qatar,29-321,Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-324,CS Sfaxien,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-166,Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Akram Afif,FW,Qatar,26-030,Al Sadd SC,1996,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.02,0.1,0.12,0.02,0.12
Alan Franco,MF,Ecuador,24-119,Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Balde,DF,Spain,19-061,Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Aleksandar Mitrovic,FW,Serbia,28-093,Fulham,1994,3,3,262,2.9,2,0,2,0,0,1,0,0.69,0,0.69,0.69,0.69,1.6,1.6,0.7,2.4,0.57,0.24,0.81,0.57,0.81
Alex Sandro,DF,Brazil,31-326,Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.04,0.05,0.01,0.05
Alex Telles,DF,Brazil,30-003,Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Bah,DF,Denmark,25-009,Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.11,0.14,0.25,0.11,0.25
Alexander Djiku,DF,Ghana,28-131,Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
